country	Lat	Long	date	Number of COVID-19 related deaths
Afghanistan	33	65	4/8/20	14
Afghanistan	33	65	4/9/20	15
Albania	41.1533	20.1683	1/22/20	0
Albania	41.1533	20.1683	1/23/20	0
Albania	41.1533	20.1683	1/24/20	0
Albania	41.1533	20.1683	1/25/20	0
Albania	41.1533	20.1683	1/26/20	0
Albania	41.1533	20.1683	1/27/20	0
Albania	41.1533	20.1683	1/28/20	0
Albania	41.1533	20.1683	1/29/20	0
Albania	41.1533	20.1683	1/30/20	0
Albania	41.1533	20.1683	1/31/20	0
Albania	41.1533	20.1683	2/1/20	0
Albania	41.1533	20.1683	2/10/20	0
Albania	41.1533	20.1683	2/11/20	0
Albania	41.1533	20.1683	2/12/20	0
Albania	41.1533	20.1683	2/13/20	0
Albania	41.1533	20.1683	2/14/20	0
Albania	41.1533	20.1683	2/15/20	0
Albania	41.1533	20.1683	2/16/20	0
Albania	41.1533	20.1683	2/17/20	0
Albania	41.1533	20.1683	2/18/20	0
Albania	41.1533	20.1683	2/19/20	0
Albania	41.1533	20.1683	2/2/20	0
Albania	41.1533	20.1683	2/20/20	0
Albania	41.1533	20.1683	2/21/20	0
Albania	41.1533	20.1683	2/22/20	0
Albania	41.1533	20.1683	2/23/20	0
Albania	41.1533	20.1683	2/24/20	0
Albania	41.1533	20.1683	2/25/20	0
Albania	41.1533	20.1683	2/26/20	0
Albania	41.1533	20.1683	2/27/20	0
Albania	41.1533	20.1683	2/28/20	0
Albania	41.1533	20.1683	2/29/20	0
Albania	41.1533	20.1683	2/3/20	0
Albania	41.1533	20.1683	2/4/20	0
Albania	41.1533	20.1683	2/5/20	0
Albania	41.1533	20.1683	2/6/20	0
Albania	41.1533	20.1683	2/7/20	0
Albania	41.1533	20.1683	2/8/20	0
Albania	41.1533	20.1683	2/9/20	0
Albania	41.1533	20.1683	3/1/20	0
Albania	41.1533	20.1683	3/10/20	0
Albania	41.1533	20.1683	3/11/20	1
Albania	41.1533	20.1683	3/12/20	1
Albania	41.1533	20.1683	3/13/20	1
Albania	41.1533	20.1683	3/14/20	1
Albania	41.1533	20.1683	3/15/20	1
Albania	41.1533	20.1683	3/16/20	1
Albania	41.1533	20.1683	3/17/20	1
Albania	41.1533	20.1683	3/18/20	2
Albania	41.1533	20.1683	3/19/20	2
Albania	41.1533	20.1683	3/2/20	0
Albania	41.1533	20.1683	3/20/20	2
Albania	41.1533	20.1683	3/21/20	2
Albania	41.1533	20.1683	3/22/20	2
Albania	41.1533	20.1683	3/23/20	4
Albania	41.1533	20.1683	3/24/20	5
Albania	41.1533	20.1683	3/25/20	5
Albania	41.1533	20.1683	3/26/20	6
Albania	41.1533	20.1683	3/27/20	8
Albania	41.1533	20.1683	3/28/20	10
Albania	41.1533	20.1683	3/29/20	10
Albania	41.1533	20.1683	3/3/20	0
Albania	41.1533	20.1683	3/30/20	11
Albania	41.1533	20.1683	3/31/20	15
Albania	41.1533	20.1683	3/4/20	0
Albania	41.1533	20.1683	3/5/20	0
Albania	41.1533	20.1683	3/6/20	0
Albania	41.1533	20.1683	3/7/20	0
Albania	41.1533	20.1683	3/8/20	0
Albania	41.1533	20.1683	3/9/20	0
Albania	41.1533	20.1683	4/1/20	15
Albania	41.1533	20.1683	4/10/20	23
Albania	41.1533	20.1683	4/11/20	23
Albania	41.1533	20.1683	4/12/20	23
Albania	41.1533	20.1683	4/13/20	23
Albania	41.1533	20.1683	4/14/20	24
Albania	41.1533	20.1683	4/15/20	25
Albania	41.1533	20.1683	4/16/20	26
Albania	41.1533	20.1683	4/2/20	16
Albania	41.1533	20.1683	4/3/20	17
Albania	41.1533	20.1683	4/4/20	20
Albania	41.1533	20.1683	4/5/20	20
Albania	41.1533	20.1683	4/6/20	21
Albania	41.1533	20.1683	4/7/20	22
Albania	41.1533	20.1683	4/8/20	22
Albania	41.1533	20.1683	4/9/20	23
Algeria	28.0339	1.6596	1/22/20	0
Algeria	28.0339	1.6596	1/23/20	0
Algeria	28.0339	1.6596	1/24/20	0
Algeria	28.0339	1.6596	1/25/20	0
Algeria	28.0339	1.6596	1/26/20	0
Algeria	28.0339	1.6596	1/27/20	0
Algeria	28.0339	1.6596	1/28/20	0
Algeria	28.0339	1.6596	1/29/20	0
Algeria	28.0339	1.6596	1/30/20	0
Algeria	28.0339	1.6596	1/31/20	0
Algeria	28.0339	1.6596	2/1/20	0
Algeria	28.0339	1.6596	2/10/20	0
Algeria	28.0339	1.6596	2/11/20	0
Algeria	28.0339	1.6596	2/12/20	0
Algeria	28.0339	1.6596	2/13/20	0
Algeria	28.0339	1.6596	2/14/20	0
Algeria	28.0339	1.6596	2/15/20	0
Algeria	28.0339	1.6596	2/16/20	0
Algeria	28.0339	1.6596	2/17/20	0
Algeria	28.0339	1.6596	2/18/20	0
Algeria	28.0339	1.6596	2/19/20	0
Algeria	28.0339	1.6596	2/2/20	0
Algeria	28.0339	1.6596	2/20/20	0
Algeria	28.0339	1.6596	2/21/20	0
Algeria	28.0339	1.6596	2/22/20	0
Algeria	28.0339	1.6596	2/23/20	0
Algeria	28.0339	1.6596	2/24/20	0
Algeria	28.0339	1.6596	2/25/20	0
Algeria	28.0339	1.6596	2/26/20	0
Algeria	28.0339	1.6596	2/27/20	0
Algeria	28.0339	1.6596	2/28/20	0
Algeria	28.0339	1.6596	2/29/20	0
Algeria	28.0339	1.6596	2/3/20	0
Algeria	28.0339	1.6596	2/4/20	0
Algeria	28.0339	1.6596	2/5/20	0
Algeria	28.0339	1.6596	2/6/20	0
Algeria	28.0339	1.6596	2/7/20	0
Algeria	28.0339	1.6596	2/8/20	0
Algeria	28.0339	1.6596	2/9/20	0
Algeria	28.0339	1.6596	3/1/20	0
Algeria	28.0339	1.6596	3/10/20	0
Algeria	28.0339	1.6596	3/11/20	0
Algeria	28.0339	1.6596	3/12/20	1
Algeria	28.0339	1.6596	3/13/20	2
Algeria	28.0339	1.6596	3/14/20	3
Algeria	28.0339	1.6596	3/15/20	4
Algeria	28.0339	1.6596	3/16/20	4
Algeria	28.0339	1.6596	3/17/20	4
Algeria	28.0339	1.6596	3/18/20	7
Algeria	28.0339	1.6596	3/19/20	9
Algeria	28.0339	1.6596	3/2/20	0
Algeria	28.0339	1.6596	3/20/20	11
Algeria	28.0339	1.6596	3/21/20	15
Algeria	28.0339	1.6596	3/22/20	17
Algeria	28.0339	1.6596	3/23/20	17
Algeria	28.0339	1.6596	3/24/20	19
Algeria	28.0339	1.6596	3/25/20	21
Algeria	28.0339	1.6596	3/26/20	25
Algeria	28.0339	1.6596	3/27/20	26
Algeria	28.0339	1.6596	3/28/20	29
Algeria	28.0339	1.6596	3/29/20	31
Algeria	28.0339	1.6596	3/3/20	0
Algeria	28.0339	1.6596	3/30/20	35
Algeria	28.0339	1.6596	3/31/20	44
Algeria	28.0339	1.6596	3/4/20	0
Algeria	28.0339	1.6596	3/5/20	0
Algeria	28.0339	1.6596	3/6/20	0
Algeria	28.0339	1.6596	3/7/20	0
Algeria	28.0339	1.6596	3/8/20	0
Algeria	28.0339	1.6596	3/9/20	0
Algeria	28.0339	1.6596	4/1/20	58
Algeria	28.0339	1.6596	4/10/20	256
Algeria	28.0339	1.6596	4/11/20	275
Algeria	28.0339	1.6596	4/12/20	293
Algeria	28.0339	1.6596	4/13/20	313
Algeria	28.0339	1.6596	4/14/20	326
Algeria	28.0339	1.6596	4/15/20	336
Algeria	28.0339	1.6596	4/16/20	348
Algeria	28.0339	1.6596	4/2/20	86
Algeria	28.0339	1.6596	4/3/20	105
Algeria	28.0339	1.6596	4/4/20	130
Algeria	28.0339	1.6596	4/5/20	152
Algeria	28.0339	1.6596	4/6/20	173
Algeria	28.0339	1.6596	4/7/20	193
Algeria	28.0339	1.6596	4/8/20	205
Algeria	28.0339	1.6596	4/9/20	235
Andorra	42.5063	1.5218	1/22/20	0
Andorra	42.5063	1.5218	1/23/20	0
Andorra	42.5063	1.5218	1/24/20	0
Andorra	42.5063	1.5218	1/25/20	0
Andorra	42.5063	1.5218	1/26/20	0
Andorra	42.5063	1.5218	1/27/20	0
Andorra	42.5063	1.5218	1/28/20	0
Andorra	42.5063	1.5218	1/29/20	0
Andorra	42.5063	1.5218	1/30/20	0
Andorra	42.5063	1.5218	1/31/20	0
Andorra	42.5063	1.5218	2/1/20	0
Andorra	42.5063	1.5218	2/10/20	0
Andorra	42.5063	1.5218	2/11/20	0
Andorra	42.5063	1.5218	2/12/20	0
Andorra	42.5063	1.5218	2/13/20	0
Andorra	42.5063	1.5218	2/14/20	0
Andorra	42.5063	1.5218	2/15/20	0
Andorra	42.5063	1.5218	2/16/20	0
Andorra	42.5063	1.5218	2/17/20	0
Andorra	42.5063	1.5218	2/18/20	0
Andorra	42.5063	1.5218	2/19/20	0
Andorra	42.5063	1.5218	2/2/20	0
Andorra	42.5063	1.5218	2/20/20	0
Andorra	42.5063	1.5218	2/21/20	0
Andorra	42.5063	1.5218	2/22/20	0
Andorra	42.5063	1.5218	2/23/20	0
Andorra	42.5063	1.5218	2/24/20	0
Andorra	42.5063	1.5218	2/25/20	0
Andorra	42.5063	1.5218	2/26/20	0
Andorra	42.5063	1.5218	2/27/20	0
Andorra	42.5063	1.5218	2/28/20	0
Andorra	42.5063	1.5218	2/29/20	0
Andorra	42.5063	1.5218	2/3/20	0
Andorra	42.5063	1.5218	2/4/20	0
Andorra	42.5063	1.5218	2/5/20	0
Andorra	42.5063	1.5218	2/6/20	0
Andorra	42.5063	1.5218	2/7/20	0
Andorra	42.5063	1.5218	2/8/20	0
Andorra	42.5063	1.5218	2/9/20	0
Andorra	42.5063	1.5218	3/1/20	0
Andorra	42.5063	1.5218	3/10/20	0
Andorra	42.5063	1.5218	3/11/20	0
Andorra	42.5063	1.5218	3/12/20	0
Andorra	42.5063	1.5218	3/13/20	0
Andorra	42.5063	1.5218	3/14/20	0
Andorra	42.5063	1.5218	3/15/20	0
Andorra	42.5063	1.5218	3/16/20	0
Andorra	42.5063	1.5218	3/17/20	0
Andorra	42.5063	1.5218	3/18/20	0
Andorra	42.5063	1.5218	3/19/20	0
Andorra	42.5063	1.5218	3/2/20	0
Andorra	42.5063	1.5218	3/20/20	0
Andorra	42.5063	1.5218	3/21/20	0
Andorra	42.5063	1.5218	3/22/20	1
Andorra	42.5063	1.5218	3/23/20	1
Andorra	42.5063	1.5218	3/24/20	1
Andorra	42.5063	1.5218	3/25/20	1
Andorra	42.5063	1.5218	3/26/20	3
Andorra	42.5063	1.5218	3/27/20	3
Andorra	42.5063	1.5218	3/28/20	3
Andorra	42.5063	1.5218	3/29/20	6
Andorra	42.5063	1.5218	3/3/20	0
Andorra	42.5063	1.5218	3/30/20	8
Andorra	42.5063	1.5218	3/31/20	12
Andorra	42.5063	1.5218	3/4/20	0
Andorra	42.5063	1.5218	3/5/20	0
Andorra	42.5063	1.5218	3/6/20	0
Andorra	42.5063	1.5218	3/7/20	0
Andorra	42.5063	1.5218	3/8/20	0
Andorra	42.5063	1.5218	3/9/20	0
Andorra	42.5063	1.5218	4/1/20	14
Andorra	42.5063	1.5218	4/10/20	26
Andorra	42.5063	1.5218	4/11/20	26
Andorra	42.5063	1.5218	4/12/20	29
Andorra	42.5063	1.5218	4/13/20	29
Andorra	42.5063	1.5218	4/14/20	31
Andorra	42.5063	1.5218	4/15/20	33
Andorra	42.5063	1.5218	4/16/20	33
Andorra	42.5063	1.5218	4/2/20	15
Andorra	42.5063	1.5218	4/3/20	16
Andorra	42.5063	1.5218	4/4/20	17
Andorra	42.5063	1.5218	4/5/20	18
Andorra	42.5063	1.5218	4/6/20	21
Andorra	42.5063	1.5218	4/7/20	22
Andorra	42.5063	1.5218	4/8/20	23
Andorra	42.5063	1.5218	4/9/20	25
Angola	-11.2027	17.8739	1/22/20	0
Angola	-11.2027	17.8739	1/23/20	0
Angola	-11.2027	17.8739	1/24/20	0
Angola	-11.2027	17.8739	1/25/20	0
Angola	-11.2027	17.8739	1/26/20	0
Angola	-11.2027	17.8739	1/27/20	0
Angola	-11.2027	17.8739	1/28/20	0
Angola	-11.2027	17.8739	1/29/20	0
Angola	-11.2027	17.8739	1/30/20	0
Angola	-11.2027	17.8739	1/31/20	0
Angola	-11.2027	17.8739	2/1/20	0
Angola	-11.2027	17.8739	2/10/20	0
Angola	-11.2027	17.8739	2/11/20	0
Angola	-11.2027	17.8739	2/12/20	0
Angola	-11.2027	17.8739	2/13/20	0
Angola	-11.2027	17.8739	2/14/20	0
Angola	-11.2027	17.8739	2/15/20	0
Angola	-11.2027	17.8739	2/16/20	0
Angola	-11.2027	17.8739	2/17/20	0
Angola	-11.2027	17.8739	2/18/20	0
Angola	-11.2027	17.8739	2/19/20	0
Angola	-11.2027	17.8739	2/2/20	0
Angola	-11.2027	17.8739	2/20/20	0
Angola	-11.2027	17.8739	2/21/20	0
Angola	-11.2027	17.8739	2/22/20	0
Angola	-11.2027	17.8739	2/23/20	0
Angola	-11.2027	17.8739	2/24/20	0
Angola	-11.2027	17.8739	2/25/20	0
Angola	-11.2027	17.8739	2/26/20	0
Angola	-11.2027	17.8739	2/27/20	0
Angola	-11.2027	17.8739	2/28/20	0
Angola	-11.2027	17.8739	2/29/20	0
Angola	-11.2027	17.8739	2/3/20	0
Angola	-11.2027	17.8739	2/4/20	0
Angola	-11.2027	17.8739	2/5/20	0
Angola	-11.2027	17.8739	2/6/20	0
Angola	-11.2027	17.8739	2/7/20	0
Angola	-11.2027	17.8739	2/8/20	0
Angola	-11.2027	17.8739	2/9/20	0
Angola	-11.2027	17.8739	3/1/20	0
Angola	-11.2027	17.8739	3/10/20	0
Angola	-11.2027	17.8739	3/11/20	0
Angola	-11.2027	17.8739	3/12/20	0
Angola	-11.2027	17.8739	3/13/20	0
Angola	-11.2027	17.8739	3/14/20	0
Angola	-11.2027	17.8739	3/15/20	0
Angola	-11.2027	17.8739	3/16/20	0
Angola	-11.2027	17.8739	3/17/20	0
Angola	-11.2027	17.8739	3/18/20	0
Angola	-11.2027	17.8739	3/19/20	0
Angola	-11.2027	17.8739	3/2/20	0
Angola	-11.2027	17.8739	3/20/20	0
Angola	-11.2027	17.8739	3/21/20	0
Angola	-11.2027	17.8739	3/22/20	0
Angola	-11.2027	17.8739	3/23/20	0
Angola	-11.2027	17.8739	3/24/20	0
Angola	-11.2027	17.8739	3/25/20	0
Angola	-11.2027	17.8739	3/26/20	0
Angola	-11.2027	17.8739	3/27/20	0
Angola	-11.2027	17.8739	3/28/20	0
Angola	-11.2027	17.8739	3/29/20	2
Angola	-11.2027	17.8739	3/3/20	0
Angola	-11.2027	17.8739	3/30/20	2
Angola	-11.2027	17.8739	3/31/20	2
Angola	-11.2027	17.8739	3/4/20	0
Angola	-11.2027	17.8739	3/5/20	0
Angola	-11.2027	17.8739	3/6/20	0
Angola	-11.2027	17.8739	3/7/20	0
Angola	-11.2027	17.8739	3/8/20	0
Angola	-11.2027	17.8739	3/9/20	0
Angola	-11.2027	17.8739	4/1/20	2
Angola	-11.2027	17.8739	4/10/20	2
Angola	-11.2027	17.8739	4/11/20	2
Angola	-11.2027	17.8739	4/12/20	2
Angola	-11.2027	17.8739	4/13/20	2
Angola	-11.2027	17.8739	4/14/20	2
Angola	-11.2027	17.8739	4/15/20	2
Angola	-11.2027	17.8739	4/16/20	2
Angola	-11.2027	17.8739	4/2/20	2
Angola	-11.2027	17.8739	4/3/20	2
Angola	-11.2027	17.8739	4/4/20	2
Angola	-11.2027	17.8739	4/5/20	2
Angola	-11.2027	17.8739	4/6/20	2
Angola	-11.2027	17.8739	4/7/20	2
Angola	-11.2027	17.8739	4/8/20	2
Angola	-11.2027	17.8739	4/9/20	2
Antigua and Barbuda	17.0608	-61.7964	1/22/20	0
Antigua and Barbuda	17.0608	-61.7964	1/23/20	0
Antigua and Barbuda	17.0608	-61.7964	1/24/20	0
Antigua and Barbuda	17.0608	-61.7964	1/25/20	0
Antigua and Barbuda	17.0608	-61.7964	1/26/20	0
Antigua and Barbuda	17.0608	-61.7964	1/27/20	0
Antigua and Barbuda	17.0608	-61.7964	1/28/20	0
Antigua and Barbuda	17.0608	-61.7964	1/29/20	0
Antigua and Barbuda	17.0608	-61.7964	1/30/20	0
Antigua and Barbuda	17.0608	-61.7964	1/31/20	0
Antigua and Barbuda	17.0608	-61.7964	2/1/20	0
Antigua and Barbuda	17.0608	-61.7964	2/10/20	0
Antigua and Barbuda	17.0608	-61.7964	2/11/20	0
Antigua and Barbuda	17.0608	-61.7964	2/12/20	0
Antigua and Barbuda	17.0608	-61.7964	2/13/20	0
Antigua and Barbuda	17.0608	-61.7964	2/14/20	0
Antigua and Barbuda	17.0608	-61.7964	2/15/20	0
Antigua and Barbuda	17.0608	-61.7964	2/16/20	0
Antigua and Barbuda	17.0608	-61.7964	2/17/20	0
Antigua and Barbuda	17.0608	-61.7964	2/18/20	0
Antigua and Barbuda	17.0608	-61.7964	2/19/20	0
Antigua and Barbuda	17.0608	-61.7964	2/2/20	0
Antigua and Barbuda	17.0608	-61.7964	2/20/20	0
Antigua and Barbuda	17.0608	-61.7964	2/21/20	0
Antigua and Barbuda	17.0608	-61.7964	2/22/20	0
Antigua and Barbuda	17.0608	-61.7964	2/23/20	0
Antigua and Barbuda	17.0608	-61.7964	2/24/20	0
Antigua and Barbuda	17.0608	-61.7964	2/25/20	0
Antigua and Barbuda	17.0608	-61.7964	2/26/20	0
Antigua and Barbuda	17.0608	-61.7964	2/27/20	0
Antigua and Barbuda	17.0608	-61.7964	2/28/20	0
Antigua and Barbuda	17.0608	-61.7964	2/29/20	0
Antigua and Barbuda	17.0608	-61.7964	2/3/20	0
Antigua and Barbuda	17.0608	-61.7964	2/4/20	0
Antigua and Barbuda	17.0608	-61.7964	2/5/20	0
Antigua and Barbuda	17.0608	-61.7964	2/6/20	0
Antigua and Barbuda	17.0608	-61.7964	2/7/20	0
Antigua and Barbuda	17.0608	-61.7964	2/8/20	0
Antigua and Barbuda	17.0608	-61.7964	2/9/20	0
Antigua and Barbuda	17.0608	-61.7964	3/1/20	0
Antigua and Barbuda	17.0608	-61.7964	3/10/20	0
Antigua and Barbuda	17.0608	-61.7964	3/11/20	0
Antigua and Barbuda	17.0608	-61.7964	3/12/20	0
Antigua and Barbuda	17.0608	-61.7964	3/13/20	0
Antigua and Barbuda	17.0608	-61.7964	3/14/20	0
Antigua and Barbuda	17.0608	-61.7964	3/15/20	0
Antigua and Barbuda	17.0608	-61.7964	3/16/20	0
Antigua and Barbuda	17.0608	-61.7964	3/17/20	0
Antigua and Barbuda	17.0608	-61.7964	3/18/20	0
Antigua and Barbuda	17.0608	-61.7964	3/19/20	0
Antigua and Barbuda	17.0608	-61.7964	3/2/20	0
Antigua and Barbuda	17.0608	-61.7964	3/20/20	0
Antigua and Barbuda	17.0608	-61.7964	3/21/20	0
Antigua and Barbuda	17.0608	-61.7964	3/22/20	0
Antigua and Barbuda	17.0608	-61.7964	3/23/20	0
Antigua and Barbuda	17.0608	-61.7964	3/24/20	0
Antigua and Barbuda	17.0608	-61.7964	3/25/20	0
Antigua and Barbuda	17.0608	-61.7964	3/26/20	0
Antigua and Barbuda	17.0608	-61.7964	3/27/20	0
Antigua and Barbuda	17.0608	-61.7964	3/28/20	0
Antigua and Barbuda	17.0608	-61.7964	3/29/20	0
Antigua and Barbuda	17.0608	-61.7964	3/3/20	0
Antigua and Barbuda	17.0608	-61.7964	3/30/20	0
Antigua and Barbuda	17.0608	-61.7964	3/31/20	0
Antigua and Barbuda	17.0608	-61.7964	3/4/20	0
Antigua and Barbuda	17.0608	-61.7964	3/5/20	0
Antigua and Barbuda	17.0608	-61.7964	3/6/20	0
Antigua and Barbuda	17.0608	-61.7964	3/7/20	0
Antigua and Barbuda	17.0608	-61.7964	3/8/20	0
Antigua and Barbuda	17.0608	-61.7964	3/9/20	0
Antigua and Barbuda	17.0608	-61.7964	4/1/20	0
Antigua and Barbuda	17.0608	-61.7964	4/10/20	2
Antigua and Barbuda	17.0608	-61.7964	4/11/20	2
Antigua and Barbuda	17.0608	-61.7964	4/12/20	2
Antigua and Barbuda	17.0608	-61.7964	4/13/20	2
Antigua and Barbuda	17.0608	-61.7964	4/14/20	2
Antigua and Barbuda	17.0608	-61.7964	4/15/20	2
Antigua and Barbuda	17.0608	-61.7964	4/16/20	3
Antigua and Barbuda	17.0608	-61.7964	4/2/20	0
Antigua and Barbuda	17.0608	-61.7964	4/3/20	0
Antigua and Barbuda	17.0608	-61.7964	4/4/20	0
Antigua and Barbuda	17.0608	-61.7964	4/5/20	0
Antigua and Barbuda	17.0608	-61.7964	4/6/20	0
Antigua and Barbuda	17.0608	-61.7964	4/7/20	1
Antigua and Barbuda	17.0608	-61.7964	4/8/20	2
Antigua and Barbuda	17.0608	-61.7964	4/9/20	2
Argentina	-38.4161	-63.6167	1/22/20	0
Argentina	-38.4161	-63.6167	1/23/20	0
Argentina	-38.4161	-63.6167	1/24/20	0
Argentina	-38.4161	-63.6167	1/25/20	0
Argentina	-38.4161	-63.6167	1/26/20	0
Argentina	-38.4161	-63.6167	1/27/20	0
Argentina	-38.4161	-63.6167	1/28/20	0
Argentina	-38.4161	-63.6167	1/29/20	0
Argentina	-38.4161	-63.6167	1/30/20	0
Argentina	-38.4161	-63.6167	1/31/20	0
Argentina	-38.4161	-63.6167	2/1/20	0
Argentina	-38.4161	-63.6167	2/10/20	0
Argentina	-38.4161	-63.6167	2/11/20	0
Argentina	-38.4161	-63.6167	2/12/20	0
Argentina	-38.4161	-63.6167	2/13/20	0
Argentina	-38.4161	-63.6167	2/14/20	0
Argentina	-38.4161	-63.6167	2/15/20	0
Argentina	-38.4161	-63.6167	2/16/20	0
Argentina	-38.4161	-63.6167	2/17/20	0
Argentina	-38.4161	-63.6167	2/18/20	0
Argentina	-38.4161	-63.6167	2/19/20	0
Argentina	-38.4161	-63.6167	2/2/20	0
Argentina	-38.4161	-63.6167	2/20/20	0
Argentina	-38.4161	-63.6167	2/21/20	0
Argentina	-38.4161	-63.6167	2/22/20	0
Argentina	-38.4161	-63.6167	2/23/20	0
Argentina	-38.4161	-63.6167	2/24/20	0
Argentina	-38.4161	-63.6167	2/25/20	0
Argentina	-38.4161	-63.6167	2/26/20	0
Argentina	-38.4161	-63.6167	2/27/20	0
Argentina	-38.4161	-63.6167	2/28/20	0
Argentina	-38.4161	-63.6167	2/29/20	0
Argentina	-38.4161	-63.6167	2/3/20	0
Argentina	-38.4161	-63.6167	2/4/20	0
Argentina	-38.4161	-63.6167	2/5/20	0
Argentina	-38.4161	-63.6167	2/6/20	0
Argentina	-38.4161	-63.6167	2/7/20	0
Argentina	-38.4161	-63.6167	2/8/20	0
Argentina	-38.4161	-63.6167	2/9/20	0
Argentina	-38.4161	-63.6167	3/1/20	0
Argentina	-38.4161	-63.6167	3/10/20	1
Argentina	-38.4161	-63.6167	3/11/20	1
Argentina	-38.4161	-63.6167	3/12/20	1
Argentina	-38.4161	-63.6167	3/13/20	2
Argentina	-38.4161	-63.6167	3/14/20	2
Argentina	-38.4161	-63.6167	3/15/20	2
Argentina	-38.4161	-63.6167	3/16/20	2
Argentina	-38.4161	-63.6167	3/17/20	2
Argentina	-38.4161	-63.6167	3/18/20	2
Argentina	-38.4161	-63.6167	3/19/20	3
Argentina	-38.4161	-63.6167	3/2/20	0
Argentina	-38.4161	-63.6167	3/20/20	3
Argentina	-38.4161	-63.6167	3/21/20	4
Argentina	-38.4161	-63.6167	3/22/20	4
Argentina	-38.4161	-63.6167	3/23/20	4
Argentina	-38.4161	-63.6167	3/24/20	6
Argentina	-38.4161	-63.6167	3/25/20	8
Argentina	-38.4161	-63.6167	3/26/20	9
Argentina	-38.4161	-63.6167	3/27/20	13
Argentina	-38.4161	-63.6167	3/28/20	18
Argentina	-38.4161	-63.6167	3/29/20	19
Argentina	-38.4161	-63.6167	3/3/20	0
Argentina	-38.4161	-63.6167	3/30/20	23
Argentina	-38.4161	-63.6167	3/31/20	27
Argentina	-38.4161	-63.6167	3/4/20	0
Argentina	-38.4161	-63.6167	3/5/20	0
Argentina	-38.4161	-63.6167	3/6/20	0
Argentina	-38.4161	-63.6167	3/7/20	0
Argentina	-38.4161	-63.6167	3/8/20	1
Argentina	-38.4161	-63.6167	3/9/20	1
Argentina	-38.4161	-63.6167	4/1/20	28
Argentina	-38.4161	-63.6167	4/10/20	82
Argentina	-38.4161	-63.6167	4/11/20	83
Argentina	-38.4161	-63.6167	4/12/20	90
Argentina	-38.4161	-63.6167	4/13/20	97
Argentina	-38.4161	-63.6167	4/14/20	102
